insert into Factura (idFactura, idMesa, tipoPago, Importe) values (1, 1, 'efectivo', 599.15);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (94, 94, 'tarjeta', 392.48);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (95, 95, 'efectivo', 573.13);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (96, 96, 'tarjeta', 667.79);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (97, 97, 'efectivo', 624.98);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (98, 98, 'efectivo', 967.88);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (99, 99, 'efectivo', 374.25);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (100, 100, 'tarjeta', 917.67);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (101, 101, 'tarjeta', 624.37);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (102, 102, 'efectivo', 884.23);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (103, 103, 'tarjeta', 389.72);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (104, 104, 'efectivo', 77.66);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (105, 105, 'tarjeta', 933.06);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (106, 106, 'efectivo', 230.32);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (107, 107, 'tarjeta', 590.69);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (108, 108, 'efectivo', 851.04);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (109, 109, 'efectivo', 794.55);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (110, 110, 'tarjeta', 616.95);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (111, 111, 'efectivo', 954.54);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (112, 112, 'efectivo', 914.74);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (113, 113, 'efectivo', 451.3);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (114, 114, 'tarjeta', 830.42);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (115, 115, 'tarjeta', 573.91);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (116, 116, 'tarjeta', 568.69);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (117, 117, 'efectivo', 56.69);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (118, 118, 'tarjeta', 277.37);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (119, 119, 'efectivo', 762.05);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (120, 120, 'tarjeta', 993.75);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (121, 121, 'tarjeta', 452.76);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (122, 122, 'efectivo', 521.61);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (123, 123, 'tarjeta', 511.76);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (124, 124, 'efectivo', 319.98);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (125, 125, 'tarjeta', 35.23);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (126, 126, 'efectivo', 944.38);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (127, 127, 'tarjeta', 141.54);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (128, 128, 'tarjeta', 684.2);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (129, 129, 'tarjeta', 705.4);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (130, 130, 'tarjeta', 902.92);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (131, 131, 'tarjeta', 748.64);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (132, 132, 'tarjeta', 229.11);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (133, 133, 'tarjeta', 557.15);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (134, 134, 'efectivo', 698.73);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (135, 135, 'tarjeta', 526.92);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (136, 136, 'efectivo', 284.15);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (137, 137, 'tarjeta', 554.72);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (138, 138, 'efectivo', 531.57);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (139, 139, 'tarjeta', 314.33);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (140, 140, 'efectivo', 604.97);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (141, 141, 'efectivo', 573.41);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (142, 142, 'tarjeta', 104.96);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (143, 143, 'efectivo', 277.59);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (144, 144, 'efectivo', 403.83);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (145, 145, 'tarjeta', 463.43);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (146, 146, 'tarjeta', 980.88);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (147, 147, 'efectivo', 57.64);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (148, 148, 'tarjeta', 251.73);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (149, 149, 'tarjeta', 95.79);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (150, 150, 'tarjeta', 915.33);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (151, 151, 'tarjeta', 370.05);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (152, 152, 'tarjeta', 769.92);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (153, 153, 'efectivo', 511.21);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (154, 154, 'tarjeta', 363.49);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (155, 155, 'efectivo', 572.62);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (156, 156, 'efectivo', 375.42);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (157, 157, 'tarjeta', 457.91);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (158, 158, 'efectivo', 946.99);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (159, 159, 'tarjeta', 841.3);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (160, 160, 'tarjeta', 37.39);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (161, 161, 'efectivo', 317.8);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (162, 162, 'tarjeta', 186.83);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (163, 163, 'efectivo', 404.62);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (164, 164, 'tarjeta', 613.2);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (165, 165, 'efectivo', 620.43);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (166, 166, 'tarjeta', 164.49);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (167, 167, 'tarjeta', 365.25);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (168, 168, 'tarjeta', 468.54);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (169, 169, 'efectivo', 536.78);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (170, 170, 'tarjeta', 532.28);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (171, 171, 'tarjeta', 568.92);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (172, 172, 'efectivo', 307.75);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (173, 173, 'efectivo', 489.92);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (174, 174, 'efectivo', 203.21);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (175, 175, 'tarjeta', 326.2);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (176, 176, 'tarjeta', 806.03);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (177, 177, 'tarjeta', 665.26);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (178, 178, 'efectivo', 53.07);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (179, 179, 'efectivo', 934.84);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (180, 180, 'efectivo', 680.1);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (181, 181, 'efectivo', 479.26);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (182, 182, 'tarjeta', 459.75);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (183, 183, 'tarjeta', 910.81);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (184, 184, 'efectivo', 237.98);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (185, 185, 'efectivo', 935.58);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (186, 186, 'efectivo', 471.16);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (187, 187, 'tarjeta', 240.57);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (188, 188, 'tarjeta', 693.39);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (189, 189, 'tarjeta', 915.35);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (190, 190, 'tarjeta', 738.47);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (191, 191, 'tarjeta', 468.19);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (192, 192, 'tarjeta', 809.61);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (193, 193, 'tarjeta', 962.05);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (194, 194, 'tarjeta', 853.29);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (195, 195, 'tarjeta', 775.57);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (196, 196, 'efectivo', 250.28);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (197, 197, 'tarjeta', 80.25);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (198, 198, 'efectivo', 338.37);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (199, 199, 'efectivo', 71.02);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (200, 200, 'efectivo', 572.86);
